rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_debt_minted,total_debt_burned,residual_debt_shares,residual_debt_value,external_value_moved,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,extraction_candidate,insolvency_candidate,reason
25,17820001290999,5,100000000,9/10,1/100,1000,100,1,1,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
26,17820001290999,5,100000000,9/10,1/100,1000,100,3,7,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
27,17820001290999,5,100000000,9/10,1/100,1000,100,11,17,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
28,17820001290999,5,100000000,9/10,1/100,1000,100,31,67,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
29,17820001290999,5,100000000,9/10,1/100,1000,100,123,456,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
30,17820001290999,5,100000000,9/10,1/100,1000,100,8191,8191,10000000000000,9000000000000,90000000000,9999999900000,9000000000000,89999900000,8910000100000,8910000200000,18999999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
31,17820001290999,6,100000000,99/100,1/10,1000,100,1,1,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
32,17820001290999,6,100000000,99/100,1/10,1000,100,3,7,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
33,17820001290999,6,100000000,99/100,1/10,1000,100,11,17,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
34,17820001290999,6,100000000,99/100,1/10,1000,100,31,67,10000000000000,9900000000000,990000000000,9999999900000,9900000000000,989999900000,8910000100000,8910000200000,19899999900000,8909999900000,300000,890999,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT
