rank,rank_score,simplicity_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,minimal_repro_candidate,reason
14,888988,11198,100,19/20,1/20,1,1,31,67,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
15,888507,11679,100,19/20,1/20,1,1,123,456,loose,100,95,4,99,0,0,92,93,90,3,900000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
16,879082,11102,100,99/100,1/10,1,1,1,1,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
17,879080,11102,100,9/10,1/100,1,1,1,1,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
18,879080,11102,100,9/10,1/100,1,1,1,1,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
19,878986,11198,100,99/100,1/10,1,1,31,67,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
20,878984,11198,100,9/10,1/100,1,1,31,67,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
21,878984,11198,100,9/10,1/100,1,1,31,67,health_checked,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
22,878505,11679,100,99/100,1/10,1,1,123,456,loose,100,99,9,99,0,0,91,92,89,3,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
23,878503,11679,100,9/10,1/100,1,1,123,456,loose,100,90,0,99,0,0,90,91,89,2,890000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
