rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,reason
77,142501000003,1000000,3/4,1/20,1000,100,1,1,repay_required_before_withdraw,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
78,142501000003,1000000,3/4,1/20,1000,100,31,67,withdraw_guarded,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
79,142501000003,1000000,3/4,1/20,1000,100,31,67,repay_required_before_withdraw,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
80,142501000003,1000000,3/4,1/20,1000,100,123,456,withdraw_guarded,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
81,142501000003,1000000,3/4,1/20,1000,100,123,456,repay_required_before_withdraw,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
82,142501000003,1000000,3/4,1/20,1000,100,8191,8191,withdraw_guarded,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
83,142501000003,1000000,3/4,1/20,1000,100,8191,8191,repay_required_before_withdraw,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
84,135001074999,1000000,3/4,1/10,1000,100,1,1,loose,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
85,135001074999,1000000,3/4,1/10,1000,100,1,1,health_checked,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
86,135001074999,1000000,3/4,1/10,1000,100,31,67,loose,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
87,135001074999,1000000,3/4,1/10,1000,100,31,67,health_checked,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
88,135001074999,1000000,3/4,1/10,1000,100,123,456,loose,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
89,135001074999,1000000,3/4,1/10,1000,100,123,456,health_checked,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
90,135001074999,1000000,3/4,1/10,1000,100,8191,8191,loose,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
91,135001074999,1000000,3/4,1/10,1000,100,8191,8191,health_checked,100000000000,75000000000,7500000000,99999900000,0,0,67500100000,67500200000,67499900000,300000,674999,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
92,135001000003,1000000,3/4,1/10,1000,100,1,1,withdraw_guarded,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
93,135001000003,1000000,3/4,1/10,1000,100,1,1,repay_required_before_withdraw,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
94,135001000003,1000000,3/4,1/10,1000,100,31,67,withdraw_guarded,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
95,135001000003,1000000,3/4,1/10,1000,100,31,67,repay_required_before_withdraw,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
96,135001000003,1000000,3/4,1/10,1000,100,123,456,withdraw_guarded,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
97,135001000003,1000000,3/4,1/10,1000,100,123,456,repay_required_before_withdraw,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
98,135001000003,1000000,3/4,1/10,1000,100,8191,8191,withdraw_guarded,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
99,135001000003,1000000,3/4,1/10,1000,100,8191,8191,repay_required_before_withdraw,100000000000,75000000000,7500000000,32499700000,0,0,67500100000,67500200000,-300000,67500500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
100,133334933338,1000000,2/3,1/2,1000,100,1,1,full_protocol_guard,100000000000,66666600000,33333300000,33332900000,0,0,33333400000,33333500000,-33333800000,66667300000,333338,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
