rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,reason
15,200000766667,1000000,2/3,1/20,1000,100,123,456,full_protocol_guard,100000000000,66666600000,3333300000,0,0,100000,63333400000,63333500000,-36666700000,100000200000,366667,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
16,200000766667,1000000,2/3,1/20,1000,100,8191,8191,full_protocol_guard,100000000000,66666600000,3333300000,0,0,100000,63333400000,63333500000,-36666700000,100000200000,366667,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
17,200000740000,1000000,2/3,1/100,1000,100,1,1,full_protocol_guard,100000000000,66666600000,666600000,0,0,100000,66000100000,66000200000,-34000000000,100000200000,340000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
18,200000740000,1000000,2/3,1/100,1000,100,31,67,full_protocol_guard,100000000000,66666600000,666600000,0,0,100000,66000100000,66000200000,-34000000000,100000200000,340000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
19,200000740000,1000000,2/3,1/100,1000,100,123,456,full_protocol_guard,100000000000,66666600000,666600000,0,0,100000,66000100000,66000200000,-34000000000,100000200000,340000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
20,200000740000,1000000,2/3,1/100,1000,100,8191,8191,full_protocol_guard,100000000000,66666600000,666600000,0,0,100000,66000100000,66000200000,-34000000000,100000200000,340000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
21,200000725000,1000000,3/4,1/10,1000,100,1,1,full_protocol_guard,100000000000,75000000000,7500000000,0,0,100000,67500100000,67500200000,-32500000000,100000200000,325000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
22,200000725000,1000000,3/4,1/10,1000,100,31,67,full_protocol_guard,100000000000,75000000000,7500000000,0,0,100000,67500100000,67500200000,-32500000000,100000200000,325000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
23,200000725000,1000000,3/4,1/10,1000,100,123,456,full_protocol_guard,100000000000,75000000000,7500000000,0,0,100000,67500100000,67500200000,-32500000000,100000200000,325000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
24,200000725000,1000000,3/4,1/10,1000,100,8191,8191,full_protocol_guard,100000000000,75000000000,7500000000,0,0,100000,67500100000,67500200000,-32500000000,100000200000,325000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
25,200000687500,1000000,3/4,1/20,1000,100,1,1,full_protocol_guard,100000000000,75000000000,3750000000,0,0,100000,71250100000,71250200000,-28750000000,100000200000,287500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
26,200000687500,1000000,3/4,1/20,1000,100,31,67,full_protocol_guard,100000000000,75000000000,3750000000,0,0,100000,71250100000,71250200000,-28750000000,100000200000,287500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
27,200000687500,1000000,3/4,1/20,1000,100,123,456,full_protocol_guard,100000000000,75000000000,3750000000,0,0,100000,71250100000,71250200000,-28750000000,100000200000,287500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
28,200000687500,1000000,3/4,1/20,1000,100,8191,8191,full_protocol_guard,100000000000,75000000000,3750000000,0,0,100000,71250100000,71250200000,-28750000000,100000200000,287500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
29,200000657500,1000000,3/4,1/100,1000,100,1,1,full_protocol_guard,100000000000,75000000000,750000000,0,0,100000,74250100000,74250200000,-25750000000,100000200000,257500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
30,200000657500,1000000,3/4,1/100,1000,100,31,67,full_protocol_guard,100000000000,75000000000,750000000,0,0,100000,74250100000,74250200000,-25750000000,100000200000,257500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
31,200000657500,1000000,3/4,1/100,1000,100,123,456,full_protocol_guard,100000000000,75000000000,750000000,0,0,100000,74250100000,74250200000,-25750000000,100000200000,257500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
32,200000657500,1000000,3/4,1/100,1000,100,8191,8191,full_protocol_guard,100000000000,75000000000,750000000,0,0,100000,74250100000,74250200000,-25750000000,100000200000,257500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
33,198001895005,1000000,1/2,1/100,1000,100,1,1,full_protocol_guard,100000000000,50000000000,500000000,999500000,0,0,49500100000,49500200000,-49500500000,99000700000,495005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
34,198001895005,1000000,1/2,1/100,1000,100,31,67,full_protocol_guard,100000000000,50000000000,500000000,999500000,0,0,49500100000,49500200000,-49500500000,99000700000,495005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
35,198001895005,1000000,1/2,1/100,1000,100,123,456,full_protocol_guard,100000000000,50000000000,500000000,999500000,0,0,49500100000,49500200000,-49500500000,99000700000,495005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
36,198001895005,1000000,1/2,1/100,1000,100,8191,8191,full_protocol_guard,100000000000,50000000000,500000000,999500000,0,0,49500100000,49500200000,-49500500000,99000700000,495005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
37,190001875005,1000000,1/2,1/20,1000,100,1,1,full_protocol_guard,100000000000,50000000000,2500000000,4999500000,0,0,47500100000,47500200000,-47500500000,95000700000,475005,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
