rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,final_supply_shares,final_debt_shares,final_phantom_debt_value,final_delta,loss_ratio_ppm,max_single_step_delta,max_single_step_phantom_value,survived_chain,amplified,reason
49,243000816000,9,100000000,9/10,1/10,1000,1,1,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
50,243000816000,9,100000000,9/10,1/10,1000,3,7,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
51,243000816000,9,100000000,9/10,1/10,1000,11,17,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
52,243000816000,9,100000000,9/10,1/10,1000,31,67,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
53,243000816000,9,100000000,9/10,1/10,1000,123,456,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
54,243000816000,9,100000000,9/10,1/10,1000,8191,8191,100000000000,90000000000,9000000000,99999999000,99999999000,81000001000,81000002000,-81000003000,810000,81000003,81000002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
55,237600798000,10,100000000,4/5,1/100,1000,1,1,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
56,237600798000,10,100000000,4/5,1/100,1000,3,7,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
57,237600798000,10,100000000,4/5,1/100,1000,11,17,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
58,237600798000,10,100000000,4/5,1/100,1000,31,67,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
59,237600798000,10,100000000,4/5,1/100,1000,123,456,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
60,237600798000,10,100000000,4/5,1/100,1000,8191,8191,100000000000,80000000000,800000000,99999999000,99999999000,79200001000,79200002000,-79200003000,792000,79200003,79200002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
61,29403980700,1,100000000,99/100,1/100,100,1,1,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
62,29403980700,1,100000000,99/100,1/100,100,3,7,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
63,29403980700,1,100000000,99/100,1/100,100,11,17,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
64,29403980700,1,100000000,99/100,1/100,100,31,67,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
65,29403980700,1,100000000,99/100,1/100,100,123,456,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
66,29403980700,1,100000000,99/100,1/100,100,8191,8191,10000000000,9900000000,99000000,9999999900,9999999900,9801000100,9801000200,-9801000300,980100,98010003,98010002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
67,28215941100,2,100000000,19/20,1/100,100,1,1,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
68,28215941100,2,100000000,19/20,1/100,100,3,7,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
69,28215941100,2,100000000,19/20,1/100,100,11,17,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
70,28215941100,2,100000000,19/20,1/100,100,31,67,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
71,28215941100,2,100000000,19/20,1/100,100,123,456,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
72,28215941100,2,100000000,19/20,1/100,100,8191,8191,10000000000,9500000000,95000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
73,28215941100,3,100000000,99/100,1/20,100,1,1,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
74,28215941100,3,100000000,99/100,1/20,100,3,7,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
75,28215941100,3,100000000,99/100,1/20,100,11,17,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
76,28215941100,3,100000000,99/100,1/20,100,31,67,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
77,28215941100,3,100000000,99/100,1/20,100,123,456,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
78,28215941100,3,100000000,99/100,1/20,100,8191,8191,10000000000,9900000000,495000000,9999999900,9999999900,9405000100,9405000200,-9405000300,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
79,27075903100,4,100000000,19/20,1/20,100,1,1,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
80,27075903100,4,100000000,19/20,1/20,100,3,7,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
81,27075903100,4,100000000,19/20,1/20,100,11,17,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
82,27075903100,4,100000000,19/20,1/20,100,31,67,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
83,27075903100,4,100000000,19/20,1/20,100,123,456,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
84,27075903100,4,100000000,19/20,1/20,100,8191,8191,10000000000,9500000000,475000000,9999999900,9999999900,9025000100,9025000200,-9025000300,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
85,26730891600,5,100000000,9/10,1/100,100,1,1,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
86,26730891600,5,100000000,9/10,1/100,100,3,7,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
87,26730891600,5,100000000,9/10,1/100,100,11,17,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
88,26730891600,5,100000000,9/10,1/100,100,31,67,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
89,26730891600,5,100000000,9/10,1/100,100,123,456,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
90,26730891600,5,100000000,9/10,1/100,100,8191,8191,10000000000,9000000000,90000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
91,26730891600,6,100000000,99/100,1/10,100,1,1,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
92,26730891600,6,100000000,99/100,1/10,100,3,7,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
93,26730891600,6,100000000,99/100,1/10,100,11,17,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
94,26730891600,6,100000000,99/100,1/10,100,31,67,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
95,26730891600,6,100000000,99/100,1/10,100,123,456,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
96,26730891600,6,100000000,99/100,1/10,100,8191,8191,10000000000,9900000000,990000000,9999999900,9999999900,8910000100,8910000200,-8910000300,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
97,25650855600,7,100000000,9/10,1/20,100,1,1,10000000000,9000000000,450000000,9999999900,9999999900,8550000100,8550000200,-8550000300,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
98,25650855600,7,100000000,9/10,1/20,100,3,7,10000000000,9000000000,450000000,9999999900,9999999900,8550000100,8550000200,-8550000300,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
99,25650855600,7,100000000,9/10,1/20,100,11,17,10000000000,9000000000,450000000,9999999900,9999999900,8550000100,8550000200,-8550000300,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
100,25650855600,7,100000000,9/10,1/20,100,31,67,10000000000,9000000000,450000000,9999999900,9999999900,8550000100,8550000200,-8550000300,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
