rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,final_supply_shares,final_debt_shares,final_phantom_debt_value,final_delta,loss_ratio_ppm,max_single_step_delta,max_single_step_phantom_value,survived_chain,amplified,reason
11,282150946500,2,100000000,19/20,1/100,1000,123,456,100000000000,95000000000,950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
12,282150946500,2,100000000,19/20,1/100,1000,8191,8191,100000000000,95000000000,950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
13,282150946500,3,100000000,99/100,1/20,1000,1,1,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
14,282150946500,3,100000000,99/100,1/20,1000,3,7,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
15,282150946500,3,100000000,99/100,1/20,1000,11,17,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
16,282150946500,3,100000000,99/100,1/20,1000,31,67,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
17,282150946500,3,100000000,99/100,1/20,1000,123,456,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
18,282150946500,3,100000000,99/100,1/20,1000,8191,8191,100000000000,99000000000,4950000000,99999999000,99999999000,94050001000,94050002000,-94050003000,940500,94050003,94050002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
19,270750908500,4,100000000,19/20,1/20,1000,1,1,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
20,270750908500,4,100000000,19/20,1/20,1000,3,7,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
21,270750908500,4,100000000,19/20,1/20,1000,11,17,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
22,270750908500,4,100000000,19/20,1/20,1000,31,67,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
23,270750908500,4,100000000,19/20,1/20,1000,123,456,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
24,270750908500,4,100000000,19/20,1/20,1000,8191,8191,100000000000,95000000000,4750000000,99999999000,99999999000,90250001000,90250002000,-90250003000,902500,90250003,90250002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_OVER_90_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
25,267300897000,5,100000000,9/10,1/100,1000,1,1,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
26,267300897000,5,100000000,9/10,1/100,1000,3,7,100000000000,90000000000,900000000,99999999000,99999999000,89100001000,89100002000,-89100003000,891000,89100003,89100002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
